Index,Sample_Value,Label
0,122,raw_audio
1,121,raw_audio
2,119,raw_audio
3,122,raw_audio
4,123,raw_audio
5,121,raw_audio
6,121,raw_audio
7,120,raw_audio
8,121,raw_audio
9,121,raw_audio
10,105,raw_audio
11,118,raw_audio
12,133,raw_audio
13,123,raw_audio
14,118,raw_audio
15,122,raw_audio
16,120,raw_audio
17,118,raw_audio
18,117,raw_audio
19,120,raw_audio
20,119,raw_audio
21,119,raw_audio
22,121,raw_audio
23,119,raw_audio
24,119,raw_audio
25,121,raw_audio
26,105,raw_audio
27,114,raw_audio
28,131,raw_audio
29,125,raw_audio
30,118,raw_audio
31,122,raw_audio
32,122,raw_audio
33,120,raw_audio
34,119,raw_audio
35,120,raw_audio
36,121,raw_audio
37,118,raw_audio
38,119,raw_audio
39,119,raw_audio
40,119,raw_audio
41,119,raw_audio
42,107,raw_audio
43,111,raw_audio
44,131,raw_audio
45,124,raw_audio
46,117,raw_audio
47,121,raw_audio
48,122,raw_audio
49,120,raw_audio
50,118,raw_audio
51,121,raw_audio
52,124,raw_audio
53,121,raw_audio
54,120,raw_audio
55,121,raw_audio
56,121,raw_audio
57,122,raw_audio
58,114,raw_audio
59,109,raw_audio
60,131,raw_audio
61,128,raw_audio
62,117,raw_audio
63,120,raw_audio
64,124,raw_audio
65,121,raw_audio
66,121,raw_audio
67,121,raw_audio
68,121,raw_audio
69,122,raw_audio
70,121,raw_audio
71,121,raw_audio
72,120,raw_audio
73,120,raw_audio
74,115,raw_audio
75,107,raw_audio
76,129,raw_audio
77,128,raw_audio
78,117,raw_audio
79,121,raw_audio
80,125,raw_audio
81,123,raw_audio
82,122,raw_audio
83,121,raw_audio
84,120,raw_audio
85,121,raw_audio
86,122,raw_audio
87,122,raw_audio
88,121,raw_audio
89,121,raw_audio
90,119,raw_audio
91,105,raw_audio
92,126,raw_audio
93,131,raw_audio
94,120,raw_audio
95,117,raw_audio
96,122,raw_audio
97,122,raw_audio
98,120,raw_audio
99,118,raw_audio
100,120,raw_audio
101,121,raw_audio
102,121,raw_audio
103,121,raw_audio
104,121,raw_audio
105,121,raw_audio
106,121,raw_audio
107,105,raw_audio
108,124,raw_audio
109,132,raw_audio
110,121,raw_audio
111,118,raw_audio
112,123,raw_audio
113,123,raw_audio
114,121,raw_audio
115,119,raw_audio
116,121,raw_audio
117,122,raw_audio
118,121,raw_audio
119,121,raw_audio
120,121,raw_audio
121,122,raw_audio
122,121,raw_audio
123,103,raw_audio
124,120,raw_audio
125,132,raw_audio
126,122,raw_audio
127,119,raw_audio
128,125,raw_audio
129,124,raw_audio
130,121,raw_audio
131,121,raw_audio
132,121,raw_audio
133,122,raw_audio
134,121,raw_audio
135,121,raw_audio
136,122,raw_audio
137,121,raw_audio
138,121,raw_audio
139,106,raw_audio
140,119,raw_audio
141,134,raw_audio
142,125,raw_audio
143,118,raw_audio
144,122,raw_audio
145,122,raw_audio
146,119,raw_audio
147,120,raw_audio
148,120,raw_audio
149,121,raw_audio
150,120,raw_audio
151,120,raw_audio
152,118,raw_audio
153,119,raw_audio
154,121,raw_audio
155,106,raw_audio
156,113,raw_audio
157,132,raw_audio
158,124,raw_audio
159,119,raw_audio
160,122,raw_audio
161,122,raw_audio
162,118,raw_audio
163,119,raw_audio
164,121,raw_audio
165,122,raw_audio
166,119,raw_audio
167,122,raw_audio
168,121,raw_audio
169,121,raw_audio
170,121,raw_audio
171,110,raw_audio
172,111,raw_audio
173,132,raw_audio
174,126,raw_audio
175,119,raw_audio
176,122,raw_audio
177,123,raw_audio
178,121,raw_audio
179,121,raw_audio
180,120,raw_audio
181,118,raw_audio
182,121,raw_audio
183,121,raw_audio
184,120,raw_audio
185,119,raw_audio
186,120,raw_audio
187,113,raw_audio
188,106,raw_audio
189,130,raw_audio
190,127,raw_audio
191,120,raw_audio
192,121,raw_audio
193,122,raw_audio
194,120,raw_audio
195,120,raw_audio
196,119,raw_audio
197,121,raw_audio
198,122,raw_audio
199,121,raw_audio
200,121,raw_audio
201,121,raw_audio
202,121,raw_audio
203,117,raw_audio
204,106,raw_audio
205,127,raw_audio
206,131,raw_audio
207,119,raw_audio
208,118,raw_audio
209,123,raw_audio
210,122,raw_audio
211,120,raw_audio
212,119,raw_audio
213,121,raw_audio
214,122,raw_audio
215,121,raw_audio
216,119,raw_audio
217,121,raw_audio
218,121,raw_audio
219,119,raw_audio
220,105,raw_audio
221,126,raw_audio
222,131,raw_audio
223,120,raw_audio
224,117,raw_audio
225,123,raw_audio
226,124,raw_audio
227,120,raw_audio
228,119,raw_audio
229,121,raw_audio
230,122,raw_audio
231,121,raw_audio
232,121,raw_audio
233,121,raw_audio
234,121,raw_audio
235,121,raw_audio
236,103,raw_audio
237,123,raw_audio
238,132,raw_audio
239,119,raw_audio
240,117,raw_audio
241,122,raw_audio
242,121,raw_audio
243,119,raw_audio
244,119,raw_audio
245,119,raw_audio
246,120,raw_audio
247,118,raw_audio
248,119,raw_audio
249,122,raw_audio
250,121,raw_audio
251,121,raw_audio
252,103,raw_audio
253,120,raw_audio
254,133,raw_audio
255,122,raw_audio
256,118,raw_audio
257,122,raw_audio
258,122,raw_audio
259,119,raw_audio
260,119,raw_audio
261,121,raw_audio
262,121,raw_audio
263,119,raw_audio
264,121,raw_audio
265,121,raw_audio
266,119,raw_audio
267,121,raw_audio
268,105,raw_audio
269,115,raw_audio
270,133,raw_audio
271,123,raw_audio
272,118,raw_audio
273,121,raw_audio
274,121,raw_audio
275,120,raw_audio
276,118,raw_audio
277,121,raw_audio
278,122,raw_audio
279,122,raw_audio
280,120,raw_audio
281,120,raw_audio
282,118,raw_audio
283,120,raw_audio
284,106,raw_audio
285,112,raw_audio
286,131,raw_audio
